"title","budget_usd","rating"
"The Keeping Room",750000,"6"
"Granito",750000,"7.2"
"Brake",750000,"6"
"Human Capital",750000,"5.7"
"Round of Your Life",750000,"4.9"
"Lost in Beijing",750000,"6.7"
"Fratricide",750000,"6.6"
"Dreamland",750000,"6.3"
"Timecrimes",750000,"7.1"
"Robert Blecker Wants Me Dead",750000,"7.3"
"Phantom Boy",750000,"6.6"
"The Uncondemned",750000,"8.2"
"Bang Rajan",75000000,"6.6"
"Framing Agnes",75000000,"6.7"
"Beowulf & Grendel",75000000,"5.8"
"My Old School",75000000,"7.1"
"On Her Shoulders",75000000,"7.3"
"I Don't Want to Sleep Alone",75000000,"6.9"
"A Chiara",75000000,"6.8"
"In Our Nature",75000000,"5.6"
"The Dive",75000000,"5.6"
"Amour Fou",75000000,"6.3"
"The Devil's Miner",75000000,"7.5"
"Eating Out 2: Sloppy Seconds",75000000,"6.2"
"A Letter to True",75000000,"6.4"
"Therapy Dogs",75000000,"6.8"
"Big Sonia",75000000,"7.6"
"Spettacolo",75000000,"7"
"Strike",75000000,"6.8"
"Coffee Date",75000000,"6.3"
"Moynihan",75000000,"7.6"
"Plagues and Pleasures on the Salton Sea",75000000,"7.4"
"Look Both Ways",75000000,"6.9"
"Bastards",75000000,"6.1"
"Cowboy del Amor",75000000,"7.1"
"Terms and Conditions May Apply",75000000,"7.3"
"The Cordillera of Dreams",75000000,"7.2"
"17 Girls",75000000,"6"
"Westwood: Punk, Icon, Activist",75000000,"6.2"
"Oka!",75000000,"5.6"
"Yosemite",75000000,"4.7"
"The Hidden Blade",75000000,"7.6"
"The Brass Teapot",75000000,"6.3"
"AUM: The Cult at the End of the World",75000000,"6.4"
"Vajra Sky Over Tibet",75000000,"7.5"
"Taxidermia",75000000,"6.8"
"From the Land of the Moon",75000000,"6.6"
"Monogamy",75000000,"5"
"Husbands in Goa",75000000,"4"
"Bright Leaves",75000000,"7"
"Memories of Murder",75000000,"8.1"
"North Sea Texas",75000000,"7.1"
"Portrait of a Garden",75000000,"7.9"
"Love Object",75000000,"6.3"
"Protagonist",75000000,"7.3"
"What Comes Around",75000000,"5.3"
"The Kids Grow Up",75000000,"6.8"
"You've Been Trumped",75000000,"7.5"
"Rapid Response",75000000,"8.1"
"A League of Ordinary Gentlemen",75000000,"7"
"Bad Milo",75000000,"5.7"
"Our Deadly Vows",75000000,"3.5"
"Winning Formula",75000000,"5.6"
"Lost in Paris",75000,"6.3"
"The Kennedy Incident",75000,"6.3"
"We Go Way Back",75000,"6.3"
"One to Another",75000,"5.7"
"Wild Tigers I Have Known",75000,"6"
"Operation Homecoming: Writing the Wartime Experience",740000,"7.2"
"For No Good Reason",74000000,"7"
"Moon Garden",74000000,"6"
"Gang of Ghosts",73000000,"3.6"
"Shaan",73000000,"6"
"Film socialisme",73000000,"5.7"
"Mammoth",725000,"6.8"
"Father and Son",72500000,"6.5"
"All These Sleepless Nights",72000000,"6.5"
"The Isle",72000000,"6.9"
"The Tollbooth",72000000,"5.4"
"Scarlet Diva",72000000,"5"
"Claydream",72000000,"7.2"
"New York in the 50's",72000,"6.1"
"Shotgun Stories",72000,"7.1"
"The Happy Sad",700000,"5.4"
"At the Gates",700000,"6.6"
"Siddharth",700000,"7.4"
"Assaulted: Civil Rights Under Fire",700000,"7"
"The Wild Goose Lake",700000,"6.7"
"Little Birds",700000,"6.1"
"The Plagiarists",700000,"5.9"
"Virgin",700000,"5.6"
"Wonderful World",700000,"6"
"Lovely, Still",700000,"7.1"
"Newlyweds",70000000,"6.3"
"Levitated Mass",70000000,"6.9"
"Utama",70000000,"7.1"
"Surveillance",70000000,"6.3"
"A Letter to Momo",70000000,"7.2"
"Filth and Wisdom",70000000,"5.3"
"The Last King",70000000,"6.1"
"The Aura",70000000,"7.1"
"The Transfiguration",70000000,"6.1"
"Young & Beautiful",70000000,"6.7"
"The Last Days on Mars",70000000,"5.5"
"Vitalina Varela",70000000,"6.7"
"Roman Polanski: Wanted and Desired",70000000,"7.2"
"For Ellen",70000000,"6"
"The Trouble with Bliss",70000000,"5.3"
"Millennium Mambo",70000000,"7"
"Strange Powers: Stephin Merritt and the Magnetic Fields",70000000,"7.2"
"The Ruins of Lifta",70000000,"6.9"
"The Rocket",70000000,"7.3"
"Hundreds of Beavers",70000000,"7.6"
"Time",70000000,"4.3"
"Sweet Bean",70000000,"7.4"
"Corpus Christi",70000000,"7.7"
"Machuca",70000000,"7.7"
"The Autobiography of Nicolae Ceausescu",70000000,"7.5"
"Neshoba",70000000,"7.7"
"La petite Jérusalem",70000000,"6.5"
"Double Take",70000000,"6.1"
"Ramen Heads",5500000,"7"
"The Salvation",70000000,"6.7"
"My Big Fat Independent Movie",70000000,"3.2"
"No Ordinary Love",70000000,"4.5"
"Prisoners of Fire",70000000,"10"
"Crazy Like a Fox",70000000,"5.4"
"Three Dancing Slaves",70000000,"6.3"
"Behind the Sun",70000000,"7.6"
"Stray",70000000,"6.9"
"Post Tenebras Lux",70000000,"6.5"
"Rocks in My Pockets",70000000,"7.4"
"World's Greatest Dad",70000000,"6.9"
"A Skin Too Few: The Days of Nick Drake",70000000,"7.5"
"A Teacher",70000000,"4.8"
"Bert Stern: Original Madman",70000000,"6.6"
"Day by Day: The Dynasty",70000000,"9.7"
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",70000000,"7.6"
"Imaginary Heroes",70000000,"7"
"Bronx Gothic",70000000,"6.6"
"Iceman",70000000,"4.8"
"And Then Came Love",70000000,"4.7"
"Light from Light",70000000,"5.9"
"The Pruitt-Igoe Myth",70000000,"7.5"
"Mutant Chronicles",70000000,"5.2"
"Coyote County Loser",70000000,"6.2"
"Defamation",70000000,"7.4"
"The Dogwalker",70000000,"6.1"
"Knife + Heart",70000000,"6.2"
"Bir Zamanlar Gelecek: 2121",70000000,"5.7"
"Final Frequency",70000000,"3"
"Bord de mer",70000000,"5.6"
"War of the Buttons",70000000,"6.2"
"Donkey Punch",70000000,"5.2"
"Starring Jerry as Himself",70000000,"7.3"
"My Son",70000,"5.8"
"The Calling",70000,"4.6"
"What Do We See When We Look at the Sky?",70000,"6.8"
"The Adventurer: The Curse of the Midas Box",7980000,"5.5"
"The Last Circus",7900000,"6.5"
"Tre",7800000,"4.7"
"Superstar in a Housedress",7700000,"7.6"
"Woman Is the Future of Man",7700000,"6.4"
"House of Tolerance",7600000,"6.7"
"10 Days in a Madhouse",7500000,"5.6"
"The Good the Bad the Weird",7500000,"7.2"
"American Cannibal",7500000,"5"
"Dracula: Pages from a Virgin's Diary",7500000,"6.8"
"The Grace of Jake",7500000,"6"
"Trying to Get Good: The Jazz Odyssey of Jack Sheldon",7500000,"8.1"
"Gayby",7500000,"6"
"Smash & Grab: The Story of the Pink Panthers",7500000,"6"
"Harry Benson: Shoot First",7500000,"7.4"
"50 Ways of Saying Fabulous",7500000,"5.8"
