Title,Year,Rating,Budget_usd,genres,awards_content
Blind Mountain,2007,7.5,800000,"['Crime', 'Drama']","Awards, 3 wins & 3 nominations total"
Saint of 9/11,2006,7.7,800000,['Documentary'],"Awards, 1 nomination total"
Noise,2007,6.1,800000,"['Dark Comedy', 'Comedy', 'Crime', 'Drama']",
Made in France,2015,6.2,800000,"['Crime', 'Drama', 'Thriller']",
Naked Boys Singing!,2007,6.0,800000,"['Comedy', 'Musical']","Awards, 1 win total"
Food of Love,2002,6.0,800000,"['Drama', 'Music', 'Romance']","Awards, 4 wins & 1 nomination total"
The Cartel,2009,7.5,800000,['Documentary'],"Awards, 2 wins total"
Far Out Isn't Far Enough: The Tomi Ungerer Story,2012,7.8,800000,['Documentary'],"Awards, 6 wins & 5 nominations total"
The Tiger and the Snow,2005,7.0,800000,"['Comedy', 'Drama', 'Romance', 'War']","Awards, 5 wins & 10 nominations total"
Welcome to Leith,2015,6.9,800000,['Documentary'],"Awards, 8 wins & 31 nominations total"
Unlocking the Cage,2016,7.0,800000,"['News', 'Documentary', 'Drama', 'History']","Awards, 2 wins & 1 nomination total"
The Dhamma Brothers,2008,7.6,80000000,['Documentary'],
Mr. Blue Sky,2007,7.2,80000000,['Drama'],
How to Live Forever,2009,6.1,80000000,['Documentary'],"Awards, 1 nomination total"
The People I've Slept With,2012,4.8,80000000,['Comedy'],
Glory,2016,7.6,80000000,['Drama'],"Awards, 35 wins & 15 nominations total"
Sacred Stage: The Mariinsky Theater,2005,8.8,80000000,['Documentary'],
The Day After,2017,6.9,80000000,"['Drama', 'Romance']","Awards, 5 wins & 19 nominations total"
Lucky Them,2013,6.1,80000000,"['Comedy', 'Drama']","Awards, 2 nominations total"
4 Days in France,2016,5.8,80000000,"['Comedy', 'Drama', 'Romance']","Awards, 2 nominations total"
Frankie and Johnny Are Married,2003,6.0,80000000,['Comedy'],"Awards, 2 wins total"
Stomp! Shout! Scream!,2005,4.6,80000000,"['Comedy', 'Horror', 'Music', 'Mystery', 'Sci-Fi']","Awards, 3 wins total"
Big Animal,2000,7.1,80000000,"['Comedy', 'Drama']","Awards, 4 wins & 12 nominations total"
78/52,2017,7.3,80000000,['Documentary'],"Awards, 1 win & 7 nominations total"
Unknown,2006,6.4,80000000,"['Psychological Thriller', 'Crime', 'Drama', 'Mystery', 'Thriller']",
Imagining Argentina,2003,6.1,80000000,"['Drama', 'Romance', 'Thriller']","Awards, 1 nomination total"
Save the Date,2012,5.7,80000000,"['Comedy', 'Romance']","Awards, 3 wins & 2 nominations total"
Gossamer Folds,2020,6.9,80000000,['Drama'],"Awards, 6 wins & 1 nomination total"
Full Grown Men,2006,4.9,80000000,"['Comedy', 'Drama']",
Nobody Else But You,2011,6.6,80000000,"['Comedy', 'Crime', 'Mystery']","Awards, 1 nomination total"
Coming Through the Rye,2015,6.3,80000000,"['Drama', 'History']","Awards, 12 wins & 3 nominations total"
China Blue,2005,7.5,80000000,['Documentary'],"Awards, 1 win & 1 nomination total"
Strangers on the Earth,2016,7.5,80000000,['Documentary'],"Awards, 1 nomination total"
Quattro Noza,2003,2.9,80000000,"['Action', 'Drama']","Awards, 1 win & 3 nominations total"
The Aggressives,2005,6.7,80000000,['Documentary'],
Missing Young Woman,2001,7.1,80000000,['Documentary'],"Awards, 8 wins & 1 nomination total"
They Come to America,2012,6.1,80000000,['Documentary'],
